
AMDuProf PROFILE REPORT

EXECUTION
Target Path:
Command Line Arguments:
Working Directory:
Environment Variables:
CPU Details:,"Family(0x17), Model(0x1), Number of Cores(96)"
Operating System:,"LinuxUbuntu 18.04.2 LTS-64 (Kernel: 4.15.0)"

PROFILE DETAILS
Profile Session Type:,"Investigate Data Access"
Profile Scope:,"System-Wide"
CPU Mask:,"0x1FFFFFFFF"
CPU Affinity Mask:,"0xFFFFFFFFFFFFFFFFFFFFFFFF"
Profile Start Time:,"Apr-06-2020_22-16-04"
Profile End Time:,"Apr-06-2020_22-20-05"
Profile Duration:,"241 seconds"
Data Folder:,"/tmp"
Call Stack Sampling:,"False"

Monitored Events:,Name,Interval,Unitmask,User,OS
,"Misaligned loads (PMCx047)",25000,0,True,True
,"Cycles not in Halt (PMCx076)",250000,0,True,True
,"Retired Instructions (PMCx0C0)",250000,0,True,True
,"LS Dispatch (PMCx029)",250000,7,True,True
,"Data Cache Refills from System (PMCx043)",25000,11,True,True
,"Requests to L2 Group1 (PMCx060)",25000,c8,True,True
,"L1 DTLB Miss (PMCx045)",25000,ff,True,True

"5 HOTTEST FUNCTIONS (Sort Event - CPU clocks)"
MODULE,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"//anon",1649,39270,39021,38914,7468,19535,22937,0.9973,0.0501,0.0502,0.9937,1.0064,0.9973,0.0588,0.0191,0.0042,0.0042
"[kernel.kallsyms]_text",10,8492,3513,2506,393,1794,251,0.7134,0.0511,0.0716,0.4137,2.4173,0.7134,0.0071,0.0112,0.0003,0.0004
"/lib/modules/4.15.0-91-generic/kernel/net/netfilter/nf_conntrack.ko",0,1,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
"/lib/modules/4.15.0-91-generic/kernel/drivers/net/vxlan.ko",0,1,0,0,0,0,0,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000


FUNCTION SUMMARY
FUNCTION,"Misalign access","CPU clocks","Ret inst","DC accesses","DC refills L2/sys","DC misses","DTLB L1M","DC access rate","DC miss rate","DC miss ratio","IPC","CPI","DTLB request rate","DTLB L1M rate","DC refill rate","Misalign rate","Misalign ratio"
"find_busiest_group",0,2228,869,562,54,479,30,0.6467,0.0551,0.0852,0.3900,2.5639,0.6467,0.0035,0.0062,0.0000,0.0000
"anon!0x2e4af0a8",0,984,803,736,72,266,634,0.9166,0.0331,0.0361,0.8161,1.2254,0.9166,0.0790,0.0090,0.0000,0.0000
"anon!0x2e4af0c0",0,918,841,691,86,268,819,0.8216,0.0319,0.0388,0.9161,1.0916,0.8216,0.0974,0.0102,0.0000,0.0000
"anon!0x2e5b3ebe",12,787,733,672,54,187,59,0.9168,0.0255,0.0278,0.9314,1.0737,0.9168,0.0080,0.0074,0.0016,0.0018
"anon!0x2e583cfd",49,590,736,438,53,376,166,0.5951,0.0511,0.0858,1.2475,0.8016,0.5951,0.0226,0.0072,0.0067,0.0112
"update_blocked_averages",0,586,374,175,56,405,50,0.4679,0.1083,0.2314,0.6382,1.5668,0.4679,0.0134,0.0150,0.0000,0.0000
"anon!0x2e5f5941",5,538,615,656,62,235,301,1.0667,0.0382,0.0358,1.1431,0.8748,1.0667,0.0489,0.0101,0.0008,0.0008
"anon!0x2d4bb8ca",43,528,485,602,36,230,50,1.2412,0.0474,0.0382,0.9186,1.0887,1.2412,0.0103,0.0074,0.0089,0.0071
