pid 88005's current affinity list: 0-11,48-59
pid 88005's new affinity list: 0-11,48-59
pid 88024's current affinity list: 0-11,48-59
pid 88024's new affinity list: 0-11,48-59
pid 88042's current affinity list: 0-11,48-59
pid 88042's new affinity list: 0-11,48-59
pid 88063's current affinity list: 0-11,48-59
pid 88063's new affinity list: 0-11,48-59
pid 88081's current affinity list: 0-11,48-59
pid 88081's new affinity list: 0-11,48-59
pid 88102's current affinity list: 0-11,48-59
pid 88102's new affinity list: 0-11,48-59
pid 88120's current affinity list: 0-11,48-59
pid 88120's new affinity list: 0-11,48-59
pid 88139's current affinity list: 0-11,48-59
pid 88139's new affinity list: 0-11,48-59
pid 88157's current affinity list: 0-11,48-59
pid 88157's new affinity list: 0-11,48-59
pid 88175's current affinity list: 0-11,48-59
pid 88175's new affinity list: 0-11,48-59
pid 88210's current affinity list: 0-11,48-59
pid 88210's new affinity list: 0-11,48-59
pid 88229's current affinity list: 0-11,48-59
pid 88229's new affinity list: 0-11,48-59
pid 88248's current affinity list: 0-11,48-59
pid 88248's new affinity list: 0-11,48-59
pid 88266's current affinity list: 0-11,48-59
pid 88266's new affinity list: 0-11,48-59
pid 88285's current affinity list: 0-11,48-59
pid 88285's new affinity list: 0-11,48-59
pid 91333's current affinity list: 0-11,48-59
pid 91333's new affinity list: 0-11,48-59
pid 91415's current affinity list: 0-11,48-59
pid 91415's new affinity list: 0-11,48-59
pid 91467's current affinity list: 0-11,48-59
pid 91467's new affinity list: 0-11,48-59
pid 91480's current affinity list: 0-11,48-59
pid 91480's new affinity list: 0-11,48-59
pid 91596's current affinity list: 0-11,48-59
pid 91596's new affinity list: 0-11,48-59
pid 91608's current affinity list: 0-11,48-59
pid 91608's new affinity list: 0-11,48-59
pid 22069's current affinity list: 0-11,48-59
pid 22069's new affinity list: 0-11,48-59
pid 22090's current affinity list: 0-11,48-59
pid 22090's new affinity list: 0-11,48-59
pid 22324's current affinity list: 0-11,48-59
pid 22324's new affinity list: 0-11,48-59
pid 22343's current affinity list: 0-11,48-59
pid 22343's new affinity list: 0-11,48-59
pid 22579's current affinity list: 0-11,48-59
pid 22579's new affinity list: 0-11,48-59
pid 22596's current affinity list: 0-11,48-59
pid 22596's new affinity list: 0-11,48-59
pid 22845's current affinity list: 0-11,48-59
